title,description,category,sub_category,type,image_link,availability
Vintage French Provincial Cherry Nightstand by Mersman,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:

*************
Unique Nightstand in Good Vintage Condition. Solid and Firm. 
The Table top shows wear including a large by very light water stain.  
Otherwise, Wear is usual for its age. Please see photos. 
Overall a Gorgeous Chair that you will love having in your home!!
Measurements:   22""High x 23 1/2"" x 14 1/2""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Storage,Nightstands,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_7066280d-c299-405a-85f1-762515992339.jpg,in_stock
Mid Century Modern Metal Retro Wall Signs 19 Signs,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:

*************
Gorgeous Signs in Great Condition. Solid and Firm. 
Wear is usual for their age. Please see photos. 
Overall a Unique Set of Pictures that you will love having in your home!!
Measurements:   16"" x 12 1/2""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Decor,Wall Art,Wall Decorative Accents,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_53e166ca-0f25-4599-9a51-8e051e509e88.jpg,in_stock
Set of Eight Italian French Louis XVI Gold Rose Dining Room Chairs Made in Italy,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:

*************
Gorgeous Chairs in Great Vintage Condition. Solid and Firm. 
Wear is usual for their age. Please see photos
Overall a Gorgeous Set of Chairs that you will love having in your home!!
Measurements:   38""H x 20 1/2"" x 23"" SH: 20 1/2""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Seating,Chairs,Dining Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_0310b698-552d-4c6d-9aa5-f58d7cf5b4cc.jpg,in_stock
Pair French Country Ribbon Back Georgian Gold Rose Arm Chairs Ferguson Copeland,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:

*************
Gorgeous Chairs in Good Vintage Condition. Solid and Firm. 
The seats have some stains. Otherwise, Wear is usual for its age. 
Please see photos. 
Overall a Gorgeous Set of Chairs that you will love having in your home!!
Measurements:  41""H x 25"" x 26"" SH 20 1/2""  

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Seating,Armchairs,Arm Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_250c6e8c-2d65-4dcf-89f1-49f2b00e2e56.jpg,in_stock
Pair of Two French Country White Cane & Rush Shabby Chic Side Chairs Asis,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:

*************
Gorgeous Chairs in Good Vintage Condition. Solid and Firm. 
But one Rush seat is missing some strands of Rush Twine. 
Otherwise, Wear is usual for their age. Please see photos. 
Overall a Gorgeous Chair that you will love having in your home!!
Measurements:   41""H x 23"" x 24"" SH 18""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Seating,Chairs,Accent Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_eb6a2688-0141-4fff-89a6-f4839880d2c7.jpg,in_stock
Antique Late 19th Century Jewelry Box w Fold Up Mirror ~ French Country,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:

*************
Gorgeous Jewelry Box in Great Vintage Condition. 
Solid and Firm. Wear is usual for its age. Please see photos. 
Overall a Very Unique Jewelry Box that you will love having in your home!!
Measurements:   Mirror Up 14 1/2"" H... Down 6 1/2""H x 11 1/2"" x 7 1/2""  

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Decor,"Decorative Accessories, Mirrors","Full Length & Floor Mirrors, Decorative Accents",https://ik.imagekit.io/kuj9zqlrx0or/no_bg_08626f88-8dd2-475e-a044-89a237bf8b46.jpg,in_stock
Vintage Mid Century Modern Style Lithograph by famed Artist Bernard Buffet,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:

*************
Gorgeous Mid Century Style Lithograph by Bernard Buffet that you will love having in your home!
Framed and Matted. This has not been authenticated other than what is glued to the back of the frame.
Came out of a home in Los Angeles, California.
Measurements:   14""High x 11"" Wide

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Decor,Wall Art,Picture Frames,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_4632b8cc-4bcf-4197-be60-4a935a730d52.jpg,in_stock
Vintage Danish Mid Century Modern Computer Desk CHAIR,"Please Contact us for an EXACT Shipping Quote: The amount posted may
 Valencia, CA 91355    


Vintage Danish Mid Century Modern Computer Desk CHAIR by Hooker
This Chair came with a Hooker Desk which we are selling separately.
See our eBay store for the Desk. 
Stylish Chair in GOOD Vintage condition, with wear usual for their age.
Overall Very Stylish Chair that will highlight any room that it is placed in!!!
Measurements: 32""H x 18 x 18 and floor to seat is 18"".
 
Please keep in mind this is a Vintage piece and has its normal signs of wear. 
And is being sold in “as is"" condition. 
Note: Please use photos as part of the description. 
",Seating,Chairs,Office Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_f5838f21-5365-44eb-8521-6669e2261a1f.jpg,in_stock
Vintage French Country Brown Bench w Storage Asis,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:

************************
Gorgeous Bench in Good Vintage Condition. But one of the legs 
was previously repaired.  Otherwise wear is usual for its age. Please see the photos.
Overall a Gorgeous Bench that you will love having in your home!!
Measurements:   25""High x 18 1/2"" x 12 1/2"" SH 19 1/2""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Seating,Benches,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_ee3d74b2-e438-49c8-bbcc-746b2f9d93c5.jpg,in_stock
Vintage French Country Brown Bench ~ Bedside Bench 2of2,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:

************************
Gorgeous Bench in Good Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see the photos.
Overall a Gorgeous Bench that you will love having in your home!!
Measurements:   20""High x 66.5"" x 15""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Seating,Benches,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_222a20d5-070d-42c5-b552-20f1aa71f928.jpg,in_stock
Vintage French Country Brown Bench ~ Bedside Bench,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:

************************
Vintage French Country Brown Bench ~ Bedside Bench
Gorgeous Bench in Good Vintage Condition. Solid and Firm. 
But there are two stains on the fabric, otherwise wear is usual for its age. 
Please see the photos.ear is usual for its age. Please see the photos.
Overall a Gorgeous Bench that you will love having in your home!!
Measurements:   20""High x 66.5"" x 15""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Seating,Benches,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_8cbea447-90df-452f-992f-0122a8765bb1.jpg,in_stock
Vintage French Provincial White Accent Chair,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:

************************
 Gorgeous Chair in Good Vintage Condition.  
There is wear to the frame that is usual for its age.  Please see the photos.
Overall a Gorgeous Chair that you will love having in your home!!
Measurements:   34""H x 18"" x 18"" SH 18""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Seating,Chairs,"Accent Chairs, Dining Chairs",https://ik.imagekit.io/kuj9zqlrx0or/no_bg_eae91262-b665-4c65-a00e-23a9bb81bd55.jpg,in_stock
Pair of Vintage French Country Rush Tan Side Chairs w Cushions,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:

************************
Gorgeous Chairs in Great Vintage Condition. Solid and Firm. 
Wear is usual for their age. Please see the photos.
Overall a Gorgeous Set of Chairs that you will love having in your home!!
Measurements:   38""High x 17"" x 19"" SH 16 1/2""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Seating,Chairs,"Accent Chairs, Dining Chairs",https://ik.imagekit.io/kuj9zqlrx0or/no_bg_8a08b872-c5a2-4630-a19c-4cda2ac17b36.jpg,in_stock
Vintage French Country Brown Potatoe Box Container w a Drawer by Mountain View,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:

************************
Unique Container in Good Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see the photos. 
 Overall a Unique Container that you will love having in your home!!
Measurements:   24""High x 14"" x13""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Decor,Decorative Accessories,Decorative Accents,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_29d6ec0b-725d-49a8-a9e8-c5c9c60d8f83.jpg,in_stock
Vintage French Footstool vintage Needlepoint Footstool Vintage Needlepoint Footstool Vintage Footstool,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:

************************
Gorgeous Footstool in Good Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see the photos.
Overall a Gorgeous Footstool that you will love having in your home!!
Measurements:  11""High x 15"" x 13"" 

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Seating,Ottomans & Footstools,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_9be7e212-eb7c-4377-8f1f-9165a1ee71ef.jpg,in_stock
Vintage French Country Turquoise Cast Iron Footstool w White Floral Tapestry,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:

************************
Gorgeous Footstool in Good Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see the photos. 
Overall a Gorgeous Footstool that you will love having in your home!!
Measurements:   8""High x 15"" x 15""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Seating,Ottomans & Footstools,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_9cbb224d-7d6a-4b1a-932f-e5438414b3e4.jpg,in_stock
